time/fps,rollout/exploration_rate,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/episodes,train/learning_rate,train/n_updates,train/loss,eval/mean_ep_length,eval/mean_reward
41181,0.9923525,644,-1024.75,25.75,0,4,,,,,
65633,0.97655875,1974,-1059.0,60.0,0,8,,,,,
63719,0.9750624999999999,2100,-604.5,105.0,0,12,,,,,
60975,,2100,-604.5,105.0,0,16,,,,,
64670,0.9685787499999999,2646,-648.25,98.8,0,20,,,,,
66525,0.96292625,3122,-427.9583333333333,95.20833333333333,0,24,,,,,
70540,0.955445,3752,-454.25,97.67857142857143,0,28,,,,,
71582,0.950125,4200,-425.8529411764706,102.82352941176471,0,32,,,,,
71236,0.9491275,4284,-434.25,101.41666666666667,0,36,,,,,
72479,0.94364125,4746,-375.725,101.225,0,40,,,,,
73058,0.93931875,5110,-348.4318181818182,98.95454545454545,0,44,,,,,
74791,0.9311725,5796,-350.625,101.125,0,48,,,,,
75913,0.92435625,6370,-389.1923076923077,101.25,0,52,,,,,
75218,0.92136375,6622,-419.67857142857144,98.78571428571429,0,56,,,,,
75415,0.9192025,6804,-394.3333333333333,94.88333333333334,0,60,,,,,
74339,0.91754,6944,-388.75384615384615,96.96923076923076,0,64,,,,,
74529,0.915545,7112,-372.44117647058823,93.57352941176471,0,68,,,,,
74381,0.9125525,7364,-393.1095890410959,92.28767123287672,0,72,,,,,
75091,0.906235,7896,-406.5131578947368,91.27631578947368,0,76,,,,,
75177,0.89941875,8470,-393.6875,94.2125,0,80,,,,,
76401,0.8912725,9156,-382.0833333333333,96.86904761904762,0,84,,,,,
76560,0.8876149999999999,9464,-355.4157303370786,97.48314606741573,0,88,,,,,
76688,0.8837912499999999,9786,-358.4891304347826,98.1086956521739,0,92,,,,,
55146,0.8812975,9996,-346.6979166666667,97.19791666666667,0,96,,,,,
55205,0.8791362500000001,10178,-365.42,95.93,0,100,,,,,
55486,0.87581125,10458,-305.66,96.17,0,104,,,,,
56279,0.8699925,10948,-295.79,96.29,0,108,,,,,
56824,0.86550375,11326,-292.89,93.42,0,112,,,,,
56998,0.86301,11536,-289.99,90.55,0,116,,,,,
57298,0.86018375,11774,-250.98,91.53,0,120,,,,,
57965,0.85636,12096,-310.93,91.48,0,124,,,,,
57566,0.8553625,12180,-259.19,89.75,0,128,,,,,
58181,0.85220375,12446,-256.26,86.85,0,132,,,,,
58453,0.8493774999999999,12684,-274.39,85.0,0,136,,,,,
59427,0.8423950000000001,13272,-262.44,83.07,0,140,,,,,
60746,0.8335837500000001,14014,-274.19,84.8,0,144,,,,,
60662,0.83158875,14182,-292.81,83.44,0,148,,,,,
60572,0.830425,14280,-291.49,82.12,0,152,,,,,
60742,0.8271000000000001,14560,-222.06,82.68,0,156,,,,,
61354,0.8224450000000001,14952,-244.98,85.59,0,160,,,,,
61363,0.8194525,15204,-263.63,84.26,0,164,,,,,
61870,0.8147975000000001,15596,-302.99,83.63,0,168,,,,,
62360,0.81097375,15918,-304.24,84.88,0,172,,,,,
62790,0.8054875000000001,16380,-295.42,86.05,0,176,,,,,
63163,0.80133125,16730,-282.55,83.2,0,180,,,,,
63620,0.7961775,17164,-300.4,81.07,0,184,,,,,
63874,0.791855,17528,-329.9,80.57,0,188,,,,,
63995,0.78902875,17766,-338.08,78.76,0,192,,,,,
64116,0.78603625,18018,-339.01,79.69,0,196,,,,,
64445,0.782545,18312,-330.12,80.79,0,200,,,,,
64950,0.7767262500000001,18802,-382.13,82.79,0,204,,,,,
65296,0.7712399999999999,19264,-372.15,82.8,0,208,,,,,
65720,0.7660862500000001,19698,-402.64,83.29,0,212,,,,,
65509,0.76176375,20062,-424.33,84.97,0,216,,,,,
65778,0.7582725000000001,20356,-473.13,83.79,0,220,,,,,
65616,0.754615,20664,-464.33,84.98,0,224,,,,,
65512,0.75262,20832,-473.06,83.72,0,228,,,,,
65351,0.7516225000000001,20916,-494.57,85.22,0,232,,,,,
65769,0.74580375,21406,-473.26,83.92,0,236,,,,,
65821,0.7404837500000001,21854,-485.14,85.78,0,240,,,,,
65730,0.7384887500000001,22022,-493.09,83.77,0,244,,,,,
65799,0.7363275,22204,-482.72,83.39,0,248,,,,,
65981,0.7330025,22484,-503.48,84.14,0,252,,,,,
65847,0.7303425000000001,22708,-551.23,81.91,0,256,,,,,
66133,0.726685,23016,-560.17,80.86,0,260,,,,,
66346,0.72219625,23394,-529.24,79.93,0,264,,,,,
66284,0.7197024999999999,23604,-529.79,80.48,0,268,,,,,
66657,0.7135512500000001,24122,-480.93,81.6,0,272,,,,,
66855,0.7080649999999999,24584,-490.66,81.34,0,276,,,,,
66737,0.70690125,24682,-520.86,81.54,0,280,,,,,
66780,0.7030775,25004,-478.14,78.84,0,284,,,,,
67016,0.6977574999999999,25452,-488.26,78.97,0,288,,,,,
67108,0.6944325,25732,-460.51,81.22,0,292,,,,,
67276,0.6902762499999999,26082,-430.09,80.8,0,296,,,,,
67723,0.6824625,26740,-438.44,79.16,0,300,,,,,
67426,0.681465,26824,-408.95,79.67,0,304,,,,,
67623,0.67797375,27118,-370.66,81.37,0,308,,,,,
68064,0.670825,27720,-360.97,81.67,0,312,,,,,
68142,0.6671675000000001,28028,-338.51,79.22,0,316,,,,,
68605,0.65968625,28658,-320.84,81.53,0,320,,,,,
68706,0.6565275000000002,28924,-290.9,81.59,0,324,,,,,
68760,0.653535,29176,-291.72,82.41,0,328,,,,,
68623,0.650875,29400,-321.61,82.3,0,332,,,,,
68902,0.6453887500000001,29862,-304.73,85.4,0,336,,,,,
69258,0.6372425,30548,-305.11,85.78,0,340,,,,,
69129,0.6354137499999999,30702,-293.88,84.54,0,344,,,,,
69158,0.6314237500000001,31038,-255.99,86.64,0,348,,,,,
69408,0.6267687500000001,31430,-217.39,88.03,0,352,,,,,
69626,0.6196200000000001,32032,-149.41,90.04,0,356,,,,,
69870,0.61413375,32494,-120.58,91.21,0,360,,,,,
70078,0.609645,32872,-94.82,95.42,0,364,,,,,
70021,0.60748375,33054,-86.19,96.78,0,368,,,,,
70138,0.6026625000000001,33460,-113.5,94.12,0,372,,,,,
70194,0.599005,33768,-92.29,92.92,0,376,,,,,
70601,0.59052625,34482,-115.19,95.81,0,380,,,,,
70761,0.5858712500000001,34874,-145.73,96.35,0,384,,,,,
70584,0.5847074999999999,34972,-135.29,95.9,0,388,,,,,
70568,0.58254625,35154,-133.63,94.24,0,392,,,,,
70807,0.5763950000000002,35672,-184.7,95.3,0,396,,,,,
70866,0.572405,36008,-176.53,97.12,0,400,,,,,
71113,0.56558875,36582,-176.34,96.93,0,404,,,,,
71056,0.5622637500000001,36862,-203.57,94.19,0,408,,,,,
71035,0.5596037500000002,37086,-211.99,92.62,0,412,,,,,
71107,0.5559462500000001,37394,-224.4,95.01,0,416,,,,,
71144,0.5521225000000001,37716,-232.26,92.88,0,420,,,,,
71144,0.5474675,38108,-262.83,93.45,0,424,,,,,
71051,0.54597125,38234,-262.88,93.5,0,428,,,,,
71384,0.53849,38864,-261.96,92.58,0,432,,,,,
71299,0.5351650000000001,39144,-308.92,89.56,0,436,,,,,
71218,0.53267125,39354,-309.03,89.67,0,440,,,,,
71102,0.5308425000000001,39508,-309.85,90.49,0,444,,,,,
71088,0.527185,39816,-338.44,89.08,0,448,,,,,
