time/fps,rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
27940,0.9923525,4,0,25.75,-1024.75,644,,,,,
49904,0.97655875,8,0,60.0,-1059.0,1974,,,,,
48889,0.9750624999999999,12,0,105.0,-604.5,2100,,,,,
47696,,16,0,105.0,-604.5,2100,,,,,
50831,0.9685787499999999,20,0,98.8,-648.25,2646,,,,,
54617,0.96292625,24,0,95.20833333333333,-427.9583333333333,3122,,,,,
57707,0.955445,28,0,97.67857142857143,-454.25,3752,,,,,
59605,0.950125,32,0,102.82352941176471,-425.8529411764706,4200,,,,,
59099,0.9491275,36,0,101.41666666666667,-434.25,4284,,,,,
60917,0.94364125,40,0,101.225,-375.725,4746,,,,,
61983,0.93931875,44,0,98.95454545454545,-348.4318181818182,5110,,,,,
63981,0.9311725,48,0,101.125,-350.625,5796,,,,,
64863,0.92435625,52,0,101.25,-389.1923076923077,6370,,,,,
64816,0.92136375,56,0,98.78571428571429,-419.67857142857144,6622,,,,,
64708,0.9192025,60,0,94.88333333333334,-394.3333333333333,6804,,,,,
63872,0.91754,64,0,96.96923076923076,-388.75384615384615,6944,,,,,
64383,0.915545,68,0,93.57352941176471,-372.44117647058823,7112,,,,,
64493,0.9125525,72,0,92.28767123287672,-393.1095890410959,7364,,,,,
65813,0.906235,76,0,91.27631578947368,-406.5131578947368,7896,,,,,
65729,0.89941875,80,0,94.2125,-393.6875,8470,,,,,
66924,0.8912725,84,0,96.86904761904762,-382.0833333333333,9156,,,,,
67690,0.8876149999999999,88,0,97.48314606741573,-355.4157303370786,9464,,,,,
66850,0.8837912499999999,92,0,98.1086956521739,-358.4891304347826,9786,,,,,
46645,0.8812975,96,0,97.19791666666667,-346.6979166666667,9996,,,,,
46371,0.8791362500000001,100,0,95.93,-365.42,10178,,,,,
46078,0.87581125,104,0,96.17,-305.66,10458,,,,,
45649,0.8699925,108,0,96.29,-295.79,10948,,,,,
45689,0.86550375,112,0,93.42,-292.89,11326,,,,,
45705,0.86301,116,0,90.55,-289.99,11536,,,,,
46041,0.86018375,120,0,91.53,-250.98,11774,,,,,
46570,0.85636,124,0,91.48,-310.93,12096,,,,,
