time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/n_updates,train/loss,eval/mean_reward,eval/mean_ep_length
644,0.9923525,25.75,0,55345,-1024.75,4,,,,,
1974,0.97655875,60.0,0,70469,-1059.0,8,,,,,
2100,0.9750624999999999,105.0,0,65595,-604.5,12,,,,,
2100,,105.0,0,63766,-604.5,16,,,,,
2646,0.9685787499999999,98.8,0,66437,-648.25,20,,,,,
3122,0.96292625,95.20833333333333,0,67581,-427.9583333333333,24,,,,,
3752,0.955445,97.67857142857143,0,71195,-454.25,28,,,,,
4200,0.950125,102.82352941176471,0,72143,-425.8529411764706,32,,,,,
4284,0.9491275,101.41666666666667,0,71204,-434.25,36,,,,,
4746,0.94364125,101.225,0,72866,-375.725,40,,,,,
5110,0.93931875,98.95454545454545,0,73093,-348.4318181818182,44,,,,,
5796,0.9311725,101.125,0,76126,-350.625,48,,,,,
6370,0.92435625,101.25,0,75635,-389.1923076923077,52,,,,,
6622,0.92136375,98.78571428571429,0,74290,-419.67857142857144,56,,,,,
6804,0.9192025,94.88333333333334,0,73846,-394.3333333333333,60,,,,,
6944,0.91754,96.96923076923076,0,72980,-388.75384615384615,64,,,,,
7112,0.915545,93.57352941176471,0,72968,-372.44117647058823,68,,,,,
7364,0.9125525,92.28767123287672,0,72512,-393.1095890410959,72,,,,,
7896,0.906235,91.27631578947368,0,74074,-406.5131578947368,76,,,,,
8470,0.89941875,94.2125,0,74220,-393.6875,80,,,,,
9156,0.8912725,96.86904761904762,0,75603,-382.0833333333333,84,,,,,
9464,0.8876149999999999,97.48314606741573,0,75091,-355.4157303370786,88,,,,,
9786,0.8837912499999999,98.1086956521739,0,75215,-358.4891304347826,92,,,,,
9996,0.8812975,97.19791666666667,0,60118,-346.6979166666667,96,,,,,
10178,0.8791362500000001,95.93,0,59672,-365.42,100,,,,,
10458,0.87581125,96.17,0,59846,-305.66,104,,,,,
10948,0.8699925,96.29,0,60974,-295.79,108,,,,,
11326,0.86550375,93.42,0,61370,-292.89,112,,,,,
11536,0.86301,90.55,0,61448,-289.99,116,,,,,
11774,0.86018375,91.53,0,61722,-250.98,120,,,,,
12096,0.85636,91.48,0,62097,-310.93,124,,,,,
12180,0.8553625,89.75,0,61521,-259.19,128,,,,,
12446,0.85220375,86.85,0,61872,-256.26,132,,,,,
12684,0.8493774999999999,85.0,0,62129,-274.39,136,,,,,
13272,0.8423950000000001,83.07,0,62716,-262.44,140,,,,,
14014,0.8335837500000001,84.8,0,63840,-274.19,144,,,,,
14182,0.83158875,83.44,0,63570,-292.81,148,,,,,
14280,0.830425,82.12,0,63569,-291.49,152,,,,,
14560,0.8271000000000001,82.68,0,63617,-222.06,156,,,,,
14952,0.8224450000000001,85.59,0,63871,-244.98,160,,,,,
15204,0.8194525,84.26,0,63305,-263.63,164,,,,,
15596,0.8147975000000001,83.63,0,63590,-302.99,168,,,,,
15918,0.81097375,84.88,0,64051,-304.24,172,,,,,
16380,0.8054875000000001,86.05,0,64217,-295.42,176,,,,,
16730,0.80133125,83.2,0,64569,-282.55,180,,,,,
17164,0.7961775,81.07,0,65024,-300.4,184,,,,,
17528,0.791855,80.57,0,65380,-329.9,188,,,,,
17766,0.78902875,78.76,0,65539,-338.08,192,,,,,
18018,0.78603625,79.69,0,65501,-339.01,196,,,,,
18312,0.782545,80.79,0,65855,-330.12,200,,,,,
18802,0.7767262500000001,82.79,0,66185,-382.13,204,,,,,
19264,0.7712399999999999,82.8,0,66636,-372.15,208,,,,,
19698,0.7660862500000001,83.29,0,67208,-402.64,212,,,,,
20062,0.76176375,84.97,0,67347,-424.33,216,,,,,
20356,0.7582725000000001,83.79,0,67427,-473.13,220,,,,,
20664,0.754615,84.98,0,67554,-464.33,224,,,,,
20832,0.75262,83.72,0,67593,-473.06,228,,,,,
20916,0.7516225000000001,85.22,0,67449,-494.57,232,,,,,
21406,0.74580375,83.92,0,67724,-473.26,236,,,,,
21854,0.7404837500000001,85.78,0,67940,-485.14,240,,,,,
22022,0.7384887500000001,83.77,0,68034,-493.09,244,,,,,
22204,0.7363275,83.39,0,68080,-482.72,248,,,,,
22484,0.7330025,84.14,0,67995,-503.48,252,,,,,
22708,0.7303425000000001,81.91,0,68053,-551.23,256,,,,,
23016,0.726685,80.86,0,68356,-560.17,260,,,,,
23394,0.72219625,79.93,0,68627,-529.24,264,,,,,
23604,0.7197024999999999,80.48,0,68387,-529.79,268,,,,,
24122,0.7135512500000001,81.6,0,68621,-480.93,272,,,,,
24584,0.7080649999999999,81.34,0,69097,-490.66,276,,,,,
24682,0.70690125,81.54,0,68924,-520.86,280,,,,,
25004,0.7030775,78.84,0,69131,-478.14,284,,,,,
25452,0.6977574999999999,78.97,0,69275,-488.26,288,,,,,
25732,0.6944325,81.22,0,69515,-460.51,292,,,,,
26082,0.6902762499999999,80.8,0,69704,-430.09,296,,,,,
26740,0.6824625,79.16,0,69979,-438.44,300,,,,,
26824,0.681465,79.67,0,69731,-408.95,304,,,,,
27118,0.67797375,81.37,0,69876,-370.66,308,,,,,
27720,0.670825,81.67,0,70324,-360.97,312,,,,,
28028,0.6671675000000001,79.22,0,70427,-338.51,316,,,,,
28658,0.65968625,81.53,0,70970,-320.84,320,,,,,
28924,0.6565275000000002,81.59,0,70911,-290.9,324,,,,,
29176,0.653535,82.41,0,70945,-291.72,328,,,,,
29400,0.650875,82.3,0,71063,-321.61,332,,,,,
29862,0.6453887500000001,85.4,0,71289,-304.73,336,,,,,
30548,0.6372425,85.78,0,71560,-305.11,340,,,,,
30702,0.6354137499999999,84.54,0,71608,-293.88,344,,,,,
